"monk","session","piccat","dv","Nimg","Ntot","sessdate"
1,1,1,-20,0,24,2008-03-15
1,1,2,-20,13,24,2008-03-15
1,1,3,-20,2,24,2008-03-15
1,1,4,-20,11,24,2008-03-15
1,1,1,-10,10,24,2008-03-15
1,1,2,-10,9,24,2008-03-15
1,1,3,-10,2,25,2008-03-15
1,1,4,-10,2,24,2008-03-15
1,1,1,0,4,24,2008-03-15
1,1,2,0,18,24,2008-03-15
1,1,3,0,5,24,2008-03-15
1,1,4,0,3,24,2008-03-15
1,1,1,10,10,24,2008-03-15
1,1,2,10,19,24,2008-03-15
1,1,3,10,6,24,2008-03-15
1,1,4,10,2,24,2008-03-15
1,1,1,20,17,24,2008-03-15
1,1,2,20,23,24,2008-03-15
1,1,3,20,2,24,2008-03-15
1,1,4,20,6,24,2008-03-15
1,2,1,-20,17,48,2008-03-17
1,2,2,-20,16,48,2008-03-17
1,2,3,-20,10,24,2008-03-17
1,2,4,-20,17,24,2008-03-17
1,2,1,-10,35,48,2008-03-17
1,2,2,-10,25,48,2008-03-17
1,2,3,-10,4,25,2008-03-17
1,2,4,-10,18,24,2008-03-17
1,2,1,0,25,48,2008-03-17
1,2,2,0,40,48,2008-03-17
1,2,3,0,21,24,2008-03-17
1,2,4,0,19,24,2008-03-17
1,2,1,10,35,48,2008-03-17
1,2,2,10,42,49,2008-03-17
1,2,3,10,20,24,2008-03-17
1,2,4,10,24,24,2008-03-17
1,2,1,20,44,48,2008-03-17
1,2,2,20,40,49,2008-03-17
1,2,3,20,13,24,2008-03-17
1,2,4,20,23,24,2008-03-17
1,3,1,-20,0,25,2008-03-17
1,3,2,-20,6,24,2008-03-17
1,3,3,-20,8,24,2008-03-17
1,3,4,-20,4,25,2008-03-17
1,3,1,0,4,24,2008-03-17
1,3,2,0,14,24,2008-03-17
1,3,3,0,12,40,2008-03-17
1,3,4,0,15,24,2008-03-17
1,3,1,20,14,24,2008-03-17
1,3,2,20,25,41,2008-03-17
1,3,3,20,29,40,2008-03-17
1,3,4,20,24,24,2008-03-17
1,3,1,40,0,0,2008-03-17
1,3,2,40,14,15,2008-03-17
1,3,3,40,14,15,2008-03-17
1,3,4,40,14,15,2008-03-17
1,4,1,-60,0,0,2008-03-18
1,4,2,-60,25,31,2008-03-18
1,4,3,-60,0,0,2008-03-18
1,4,4,-60,0,0,2008-03-18
1,4,1,-40,3,20,2008-03-18
1,4,2,-40,9,10,2008-03-18
1,4,3,-40,1,20,2008-03-18
1,4,4,-40,8,21,2008-03-18
1,4,1,-20,3,24,2008-03-18
1,4,2,-20,9,24,2008-03-18
1,4,3,-20,14,24,2008-03-18
1,4,4,-20,0,25,2008-03-18
1,4,1,-10,8,24,2008-03-18
1,4,2,-10,16,24,2008-03-18
1,4,3,-10,15,24,2008-03-18
1,4,4,-10,9,25,2008-03-18
1,4,1,0,5,24,2008-03-18
1,4,2,0,19,25,2008-03-18
1,4,3,0,3,24,2008-03-18
1,4,4,0,22,24,2008-03-18
1,4,1,10,11,25,2008-03-18
1,4,2,10,24,25,2008-03-18
1,4,3,10,22,25,2008-03-18
1,4,4,10,16,24,2008-03-18
1,4,1,20,13,25,2008-03-18
1,4,2,20,11,24,2008-03-18
1,4,3,20,24,25,2008-03-18
1,4,4,20,16,24,2008-03-18
1,4,1,40,15,21,2008-03-18
1,4,2,40,9,11,2008-03-18
1,4,3,40,14,21,2008-03-18
1,4,4,40,13,20,2008-03-18
1,4,1,60,0,0,2008-03-18
1,4,2,60,23,31,2008-03-18
1,4,3,60,0,0,2008-03-18
1,4,4,60,0,0,2008-03-18
1,5,1,-30,5,20,2008-03-22
1,5,2,-30,8,21,2008-03-22
1,5,3,-30,6,20,2008-03-22
1,5,4,-30,8,20,2008-03-22
1,5,1,-10,9,21,2008-03-22
1,5,2,-10,2,21,2008-03-22
1,5,3,-10,12,21,2008-03-22
1,5,4,-10,7,21,2008-03-22
1,5,1,0,7,21,2008-03-22
1,5,2,0,16,20,2008-03-22
1,5,3,0,6,20,2008-03-22
1,5,4,0,13,21,2008-03-22
1,5,1,10,18,20,2008-03-22
1,5,2,10,19,20,2008-03-22
1,5,3,10,13,20,2008-03-22
1,5,4,10,5,20,2008-03-22
1,5,1,30,19,20,2008-03-22
1,5,2,30,19,20,2008-03-22
1,5,3,30,17,21,2008-03-22
1,5,4,30,14,20,2008-03-22
1,6,1,-40,0,20,2008-03-26
1,6,2,-40,0,16,2008-03-26
1,6,3,-40,1,16,2008-03-26
1,6,4,-40,2,15,2008-03-26
1,6,1,-20,7,20,2008-03-26
1,6,2,-20,0,21,2008-03-26
1,6,3,-20,4,20,2008-03-26
1,6,4,-20,6,20,2008-03-26
1,6,1,0,23,37,2008-03-26
1,6,2,0,3,35,2008-03-26
1,6,3,0,5,35,2008-03-26
1,6,4,0,11,21,2008-03-26
1,6,1,20,22,35,2008-03-26
1,6,2,20,16,20,2008-03-26
1,6,3,20,9,21,2008-03-26
1,6,4,20,11,20,2008-03-26
1,6,1,40,9,21,2008-03-26
1,6,2,40,8,15,2008-03-26
1,6,3,40,6,15,2008-03-26
1,6,4,40,9,16,2008-03-26
1,7,1,-40,3,30,2008-03-26
1,7,2,-40,6,31,2008-03-26
1,7,3,-40,9,30,2008-03-26
1,7,4,-40,9,30,2008-03-26
1,7,1,-20,7,18,2008-03-26
1,7,2,-20,4,16,2008-03-26
1,7,3,-20,4,15,2008-03-26
1,7,4,-20,0,15,2008-03-26
1,7,1,0,20,46,2008-03-26
1,7,2,0,31,46,2008-03-26
1,7,3,0,16,46,2008-03-26
1,7,4,0,21,46,2008-03-26
1,7,1,20,22,31,2008-03-26
1,7,2,20,11,15,2008-03-26
1,7,3,20,11,16,2008-03-26
1,7,4,20,7,16,2008-03-26
1,7,1,40,22,31,2008-03-26
1,7,2,40,21,30,2008-03-26
1,7,3,40,25,31,2008-03-26
1,7,4,40,24,31,2008-03-26
1,8,1,-40,6,31,2008-03-27
1,8,2,-40,6,46,2008-03-27
1,8,3,-40,7,30,2008-03-27
1,8,4,-40,5,15,2008-03-27
1,8,1,-20,3,31,2008-03-27
1,8,2,-20,12,30,2008-03-27
1,8,3,-20,12,31,2008-03-27
1,8,4,-20,17,30,2008-03-27
1,8,1,0,45,61,2008-03-27
1,8,2,0,49,76,2008-03-27
1,8,3,0,25,61,2008-03-27
1,8,4,0,16,47,2008-03-27
1,8,1,20,19,31,2008-03-27
1,8,2,20,15,32,2008-03-27
1,8,3,20,29,31,2008-03-27
1,8,4,20,19,31,2008-03-27
1,8,1,40,27,30,2008-03-27
1,8,2,40,37,46,2008-03-27
1,8,3,40,26,31,2008-03-27
1,8,4,40,14,15,2008-03-27
1,9,1,-120,18,53,2008-03-28
1,9,2,-120,9,31,2008-03-28
1,9,3,-120,12,31,2008-03-28
1,9,4,-120,2,21,2008-03-28
1,9,1,-100,2,21,2008-03-28
1,9,2,-100,0,0,2008-03-28
1,9,3,-100,0,0,2008-03-28
1,9,4,-100,0,0,2008-03-28
1,9,1,-40,12,30,2008-03-28
1,9,2,-40,7,32,2008-03-28
1,9,3,-40,14,30,2008-03-28
1,9,4,-40,7,30,2008-03-28
1,9,1,0,44,85,2008-03-28
1,9,2,0,17,30,2008-03-28
1,9,3,0,16,30,2008-03-28
1,9,4,0,15,32,2008-03-28
1,9,1,40,18,31,2008-03-28
1,9,2,40,26,30,2008-03-28
1,9,3,40,16,32,2008-03-28
1,9,4,40,25,30,2008-03-28
1,9,1,100,13,20,2008-03-28
1,9,2,100,0,0,2008-03-28
1,9,3,100,0,0,2008-03-28
1,9,4,100,0,0,2008-03-28
1,9,1,120,51,53,2008-03-28
1,9,2,120,26,31,2008-03-28
1,9,3,120,25,31,2008-03-28
1,9,4,120,18,20,2008-03-28
1,10,1,-40,6,40,2008-04-02
1,10,2,-40,2,21,2008-04-02
1,10,3,-40,9,20,2008-04-02
1,10,4,-40,20,41,2008-04-02
1,10,1,-20,21,30,2008-04-02
1,10,2,-20,8,21,2008-04-02
1,10,3,-20,19,21,2008-04-02
1,10,4,-20,12,21,2008-04-02
1,10,1,0,38,71,2008-04-02
1,10,2,0,22,40,2008-04-02
1,10,3,0,34,40,2008-04-02
1,10,4,0,40,40,2008-04-02
1,10,1,20,30,31,2008-04-02
1,10,2,20,20,20,2008-04-02
1,10,3,20,19,20,2008-04-02
1,10,4,20,12,20,2008-04-02
1,10,1,40,37,42,2008-04-02
1,10,2,40,20,20,2008-04-02
1,10,3,40,16,21,2008-04-02
1,10,4,40,19,21,2008-04-02
1,11,1,-40,3,40,2008-04-09
1,11,2,-40,4,42,2008-04-09
1,11,3,-40,1,42,2008-04-09
1,11,4,-40,3,41,2008-04-09
1,11,1,0,24,40,2008-04-09
1,11,2,0,22,45,2008-04-09
1,11,3,0,21,40,2008-04-09
1,11,4,0,20,40,2008-04-09
1,11,1,40,36,42,2008-04-09
1,11,2,40,27,40,2008-04-09
1,11,3,40,26,40,2008-04-09
1,11,4,40,35,41,2008-04-09
1,12,1,-40,6,40,2008-04-10
1,12,2,-40,15,41,2008-04-10
1,12,3,-40,9,40,2008-04-10
1,12,4,-40,5,42,2008-04-10
1,12,1,-20,12,42,2008-04-10
1,12,2,-20,17,41,2008-04-10
1,12,3,-20,10,40,2008-04-10
1,12,4,-20,16,41,2008-04-10
1,12,1,0,26,42,2008-04-10
1,12,2,0,27,40,2008-04-10
1,12,3,0,36,40,2008-04-10
1,12,4,0,33,60,2008-04-10
1,12,1,20,30,40,2008-04-10
1,12,2,20,25,41,2008-04-10
1,12,3,20,22,42,2008-04-10
1,12,4,20,19,41,2008-04-10
1,12,1,40,32,40,2008-04-10
1,12,2,40,36,41,2008-04-10
1,12,3,40,37,42,2008-04-10
1,12,4,40,33,40,2008-04-10
1,13,1,-40,4,20,2008-04-12
1,13,2,-40,1,20,2008-04-12
1,13,3,-40,5,21,2008-04-12
1,13,4,-40,9,20,2008-04-12
1,13,1,-20,3,20,2008-04-12
1,13,2,-20,5,21,2008-04-12
1,13,3,-20,0,0,2008-04-12
1,13,4,-20,0,0,2008-04-12
1,13,1,0,9,20,2008-04-12
1,13,2,0,9,21,2008-04-12
1,13,3,0,19,20,2008-04-12
1,13,4,0,12,21,2008-04-12
1,13,1,20,18,21,2008-04-12
1,13,2,20,17,20,2008-04-12
1,13,3,20,0,0,2008-04-12
1,13,4,20,13,15,2008-04-12
1,13,1,40,14,21,2008-04-12
1,13,2,40,16,20,2008-04-12
1,13,3,40,17,20,2008-04-12
1,13,4,40,18,20,2008-04-12
1,14,1,-40,1,20,2008-04-12
1,14,2,-40,1,21,2008-04-12
1,14,3,-40,4,20,2008-04-12
1,14,4,-40,6,21,2008-04-12
1,14,1,-20,6,20,2008-04-12
1,14,2,-20,7,21,2008-04-12
1,14,3,-20,16,20,2008-04-12
1,14,4,-20,3,20,2008-04-12
1,14,1,0,24,41,2008-04-12
1,14,2,0,11,20,2008-04-12
1,14,3,0,17,20,2008-04-12
1,14,4,0,12,20,2008-04-12
1,14,1,20,18,21,2008-04-12
1,14,2,20,18,20,2008-04-12
1,14,3,20,19,21,2008-04-12
1,14,4,20,18,21,2008-04-12
1,14,1,40,20,20,2008-04-12
1,14,2,40,20,20,2008-04-12
1,14,3,40,18,21,2008-04-12
1,14,4,40,15,20,2008-04-12
1,15,1,-40,4,20,2008-04-12
1,15,2,-40,2,21,2008-04-12
1,15,3,-40,4,21,2008-04-12
1,15,4,-40,4,20,2008-04-12
1,15,1,-20,3,20,2008-04-12
